@Buff.Slow,减速
@Chip.Poison_Desc,武器命中时有{0}%几率令目标不断流失生命值，持续{3:H}秒，可以叠加{2}层
@Chip.Swallow_Desc,每消灭一个敌人就获得{0}最大生命值
@Chip.Swallow_Record,已获得生命值：{0}
@Chip.Split_Desc,子弹爆炸时会分裂成{0}颗小子弹，造成{1}%的伤害
@Chip.Repair_Desc,每{0}秒恢复{1}%最大生命值
@Chip.Purify_Desc,金币基础产出+{0}
@Chip.Value_Desc,金币收益+{0}%
@Chip.Geming_Desc,每个回合结束时产出{0}钻石
@Chip.Cheap_Desc,购买价格-{0}%
@Chip.FreeOnce_Desc,免费建造{0}次
@Chip.Double_Desc,攻击时额外连发{0}次，攻击力-{1}%
@Chip.Chain_Desc,闪电额外弹射{0}次
@Chip.Fatal_Desc,武器命中时有{0}%几率令目标受伤增加{1}%，持续{2:H}秒
@Chip.Reflect_Desc,受到攻击伤害时，对攻击者造成{0}%等量伤害
@Chip.Heat_Desc,消灭一个敌人时，引发爆炸，造成其{0}%最大生命值的伤害
@Chip.AllPower_Desc,最大生命值+{0}%，攻击力+{1}%，攻击速度+{2}%，购买价格+{3}%
@Chip.Explosion_Desc,被消灭时自爆，造成自身{0}%最大生命值的伤害
@Chip.StrongKiller_Desc,攻击生命值大于{0}%的敌人时，造成额外{1}%的伤害
@Chip.WeakKiller_Desc,攻击生命值小于于{0}%的敌人时，造成额外{1}%的伤害
@Chip.SickKiller_Desc,攻击拥有负面状态的敌人时，造成额外{0}%的伤害
@Chip.RangeKiller_Desc,攻击远处的敌人时，每相距1格造成额外{0}%的伤害
@Chip.RangeArmor_Desc,获得{0}%受伤减免，在对抗远处的敌人时额外获得{1}%
@Chip.MeleeArmor_Desc,获得{0}%受伤减免，在对抗邻近的敌人时额外获得{1}%
@Chip.Fury_Desc,生命值低于{0}%时，攻击力+{1}%
@Chip.Crit_Desc,每次攻击有{0}%几率暴击，造成额外{1}%伤害
@Chip.FireSpeedRing_Desc,令{1:H}格内的友方获得+{0}%攻速
@Chip.RangeRing_Desc,令{1:H}格内的友方获得+{0}%射程
@Chip.RepairRing_Desc,每{0}秒令{2:H}格内的友方恢复{1}%最大生命值
@Chip.ArmorRing_Desc,令{1:H}格内的友方获得{0}%受伤减免
@Chip.Reborn_Desc,被消灭时立刻重生，恢复{0}%最大生命值，每回合生效一次
@Chip.Sacrifice_Desc,被消灭时释放一道治疗波，为附近的友军恢复自身{0}%最大生命值等量的生命值
@Chip.SunFlame_Desc,点燃附近的敌人，每{1:H}秒，对其造成自身{0}%最大生命值的伤害
@Chip.Clear_Desc,射程+{0}%，如果附近没有其他友军，获得+{1}%攻速
@Chip.Electricity_Desc,周期性地为附近一个其他友军充能，使其武器命中时额外造成{0}伤害
@Chip.Oil_Desc,炮弹爆炸时有{0}%几率在地面留下燃烧火焰，{1:H}秒内造成{2}%武器攻击力的伤害
@Chip.Stun_Desc,武器攻击时有{0}%几率令命中的目标眩晕{1:H}秒
@Chip.Union_Desc,每与一个同名建筑相邻，就会获得{0}%受伤减免
@Chip.Lens_Desc,可以与直线上的其他光能塔连接，建立一道增能光幕，令经过的友方子弹变大并增加{1}%伤害
@Chip.Ejection_Desc,弹射器进行改装后，可以锁定和攻击地面上的敌人
@Chip.Cheer_Desc,播放振奋人心的音乐，令声波经过的友军获得+{0}%攻速
@Chip.GlowUp_Desc,每次升级时，获得{0}%的最大生命值和{1}%攻速
@Chip.GlowUp_Record,当前加成：{0}%最大生命值，{1}%攻速
@Chip.Teleport_Desc,每{0}秒，传送一个附近的敌人到远处的随机位置
@Chip.AntiAir_Desc,武器变得可以攻击飞行的敌人
@Chip.KnowledgeCheap_Desc,所有建筑的购买价格-{0}%
@Chip.Recycle_Desc,当一个友方建筑被消灭时，获得${0}
@Chip.Recycle_Record,已获得金钱：{0}
@Chip.Bank_Desc,每30秒，获得当前金币的{0}%作为利息(上限{1})
@Chip.Bank_Record,已获得利息：{0}
@Chip.Trade_Desc,立刻获得200+{0}×矿井总等级的金币
@Chip.Upgrade_Desc,立刻升级{0}座随机建筑
@Chip.WallElite_Desc,友方路障类建筑获得+{0}%最大生命值
@Chip.AAElite_Desc,友方防空类建筑获得+{0}%攻击力
@Chip.TrapElite_Desc,友方陷阱类建筑购买价格-{0}%
@Chip.TowerElite_Desc,友方高塔类建筑获得赏金技能，每消灭一个敌人获得${0}
@Chip.DebuffElite_Desc,友方施加的负面效果强度+{0}%
@Chip.HeroElite_Desc,你的英雄获得+{0}%最大生命值，+{1}%攻击力，+{2}%攻速
@Chip.DamageTraining_Desc,每消灭{0}个敌人就永久获得+{1}%的攻击力
@Chip.DamageTraining_Record,当前加成：{0}%攻击力
@Chip.Bounty_Desc,每消灭一个敌人就获得${0}
@Chip.Bounty_Record,已获得赏金：{0}
@Chip.Execute_Desc,攻击会直接消灭生命值低于{0}%的敌人
@Chip.Revenge_Desc,受到伤害后，获得+{0}%攻速，持续{1:H}秒
@Chip.Drain_Desc,造成伤害时，自身恢复{0}%伤害等量的生命值
@Chip.ManeDrain_Desc,每消灭一个敌人就会令所有技能冷却时间-{0}秒
@Chip.LearnBlizzard_Desc,学会技能【暴雪术】，对大片敌人造成冰冻和减速
@Chip.LearnFinalExp_Desc,学会技能【终极爆炸】，对所有敌人造成巨额伤害
@Chip.ManaDrain_Desc,每消灭一个敌人就会令所有技能冷却时间-{0}秒
@Chip.Expert_Desc,建造一个新建筑时，有{0}%几率令其直接升级到2级
@Chip.Expert_Record,已升级次数：{0}
@Chip.Patch_Desc,升级一个建筑时，使其立刻完全修复，并在短时间内获得大幅强化
@Chip.Nanometre_Desc,所有的建筑获得自动修复，每秒恢复{0}%最大生命值
@Chip.Stolen_Desc,每次攻击有{0}%几率获得${1}
@Building.Base,基地
@Building.Cannon,自动火炮
@Building.Miner,矿井
@Building.Barriers,拒马
@Building.Gatt,机枪
@Building.Mort,榴弹炮
@Building.Misl,防空导弹
@Building.Flame,火焰塔
@Building.Tesla,电磁线圈
@Building.Nail,钉刺陷阱
@Building.Snipe,狙击塔
@Building.Gauss,高斯炮
@Building.Plasma,电浆炮
@Building.Laser,激光防空炮
@Building.Snow,雪球投石机
@Building.Cage,捕捉陷阱
@Building.Trap,夹子陷阱
@Building.Shield,护盾塔
@Building.ShotGun,霰弹塔
@Building.Prism,光能塔
@Building.Rock,滚石
@Building.Sonic,声波塔
@Building.Poison,毒气陷阱
@Building.Water,水炮塔
@Building.Lunar,月神石柱
@Building.Solar,太阳石柱
@Building.MineCannon,矿石炮
@Building.Nuke,洲际导弹
@Building.Hammer,地锤装置
@Building.Robot,守卫者机甲
@Building.NavalMine,水雷
@Building.NavalBomber,深水投弹器
@Building.UAVPort,无人机平台
@Building.XBomb,X爆弹
@Building.MinerTower,矿石晶塔
@Building.Obelisk,古代石碑
@Building.Base_Desc,保护好你的每个基地，一旦基地被摧毁任务就会失败
@Building.Cannon_Desc,便宜实用的防御塔，可以应付大部分小怪
@Building.Miner_Desc,放置在矿脉上，可以不断产出金币
@Building.Barriers_Desc,放置在路径上，用于拦截敌人
@Building.Gatt_Desc,快速射击的武器，对低级怪物效果很好
@Building.Mort_Desc,对远处的敌人造成范围伤害，不过命中率较低
@Building.Misl_Desc,发射追踪导弹，专门攻击飞行的敌人
@Building.Flame_Desc,对大片敌人造成伤害，不过射程较短
@Building.Tesla_Desc,可以一次攻击3个敌人，造成大量伤害
@Building.Nail_Desc,放置在路径上，对经过的敌人造成少量伤害
@Building.Snipe_Desc,射程极远，对单个目标造成高伤害
@Building.Gauss_Desc,使用电磁轨道加速子弹，拥有超强的穿透力和破坏力
@Building.Plasma_Desc,发射一枚追踪电浆球，攻击空中和地面的敌人
@Building.Laser_Desc,发射高温激光，融化任何空中的敌人
@Building.Snow_Desc,投掷雪球，对敌人造成短暂减速，有几率造成冻结
@Building.Cage_Desc,捕捉低血量的敌人，将其转化成金币
@Building.Trap_Desc,夹住经过的敌人，使其暂时无法行动
@Building.Shield_Desc,建立能量盾，降低来自护盾方向的伤害
@Building.ShotGun_Desc,一次发射多个子弹，但命中率不高
@Building.Prism_Desc,发射能量激光，对单体敌人造成高伤害
@Building.Rock_Desc,放置在路径上，可以拦截敌人，被摧毁时往前滚动对一列敌人造成伤害
@Building.Sonic_Desc,发射声波，对大片敌人造成伤害
@Building.Poison_Desc,放置在路径上，当敌人经过时喷出毒气
@Building.Water_Desc,喷射水流攻击敌人，如果放置在水边获得额外攻速和射程
@Building.Lunar_Desc,周期性的为附近的友方恢复生命值，发射可以防空的能量飞弹
@Building.Solar_Desc,令附近的友方获得伤害加成，还可以发射高温光束攻击一条直线上的敌人
@Building.MineCannon_Desc,放置在矿石上，发射强力炮弹，每次攻击都能赚取金钱
@Building.Nuke_Desc,手动发射一枚核弹到战场的任何位置
@Building.Hammer_Desc,可以锤击地面发出地震波，对周围的敌人造成伤害
@Building.Robot_Desc,一架坚实可靠的步行机甲，在充能完毕后可以移动至其他位置进行支援
@Building.NavalMine_Desc,投放在水面，敌人接触时爆炸，在每一波结束后会重新部署
@Building.NavalBomber_Desc,放置在水面，可以攻击水中的敌人
@Building.MinerTower_Desc,放置在矿脉上，发射光束攻击地面和空中的敌人，可以不断产出金币
@Building.UAVPort_Desc,放出一架无人机，可以飞行至任意位置攻击敌人
@Building.XBomb_Desc,一个立刻爆炸的炸弹，对X状范围内的敌人造成高伤害
@Building.Obelisk_Desc,占领后可以解锁特殊的科技
@UtmSkill.BulletTornado,子弹风暴
@UtmSkill.BulletTornado_desc,瞬间发射出大量的子弹，攻击扇形区域内的敌人
@UtmSkill.CrushEarth,天崩地裂
@UtmSkill.CrushEarth_desc,以千钧之势跃入敌群中，对敌人造成大量伤害和眩晕
@UtmSkill.LightningStrike,落雷术
@UtmSkill.LightningStrike_desc,召唤数个落雷打击低血量的敌人
@UtmSkill.Blizzard,暴风雪
@UtmSkill.Blizzard_desc,召唤一场暴风雪，对大片敌人造成冰冻和减速
@UtmSkill.FinalExplosion,终极爆炸
@UtmSkill.FinalExplosion_desc,用尽所有魔力引发终极爆炸，对所有敌人造成巨量伤害
@UtmSkill.OverClocking,超频
@UtmSkill.OverClocking_desc,立即修复并强化附近的数座建筑，短时间内使他们的攻速和防御大幅增加
@Tile.Dirt,泥土
@Tile.Bridge,桥
@MapObj.Base,基地
@MapObj.Ore,矿石
@MapObj.Wall,墙
@MapObj.Flower,花
@Monster.Snakelet,小蛇
@Monster.Spider,蜘蛛
@Monster.Snake,毒蛇
@Monster.Bat,小蝙蝠
@Monster.Shell,寄居蟹
@Monster.Mush,蘑菇人
@Monster.SunBlossom,太阳花
@Monster.Shade,暗影人
@Monster.Bomb,炸弹兵
@Monster.PoisonBomb,毒气炸弹兵
@Monster.Dragon,小火龙
@Monster.Golem,巨像
@Monster.Scorpling,蝎子
@Monster.Vampire,吸血蝙蝠
@Monster.Cactus,变异仙人掌
@Monster.ShadowGuard,暗影守卫
@Monster.ScorpionKing,蝎子法老
@Monster.GiantDragon,火龙
@Monster.Werewolf,狼王
@Monster.WraithKing,幽魂领主
@Monster.Snakelet_Desc,脆弱的小动物，懂得游泳
@Monster.Spider_Desc,跳跃力很强，可以越过障碍物
@Monster.Snake_Desc,锋利的牙齿能将致命毒液注入猎物体内，懂得游泳
@Monster.Bat_Desc,脆弱的小动物，懂得飞行
@Monster.Shell_Desc,戴着厚重的外壳，可以抵御小型子弹，懂得游泳
@Monster.Mush_Desc,行动缓慢，发射孢子攻击目标
@Monster.SunBlossom_Desc,漂浮前进，会缓慢治疗身边的友军
@Monster.Shade_Desc,来自地下的魔族，有着强劲的肉体，懂得游泳
@Monster.Bomb_Desc,一个灵活的移动炸弹，死亡时爆炸
@Monster.PoisonBomb_Desc,死亡时引爆毒气弹，令周围的敌军中毒
@Monster.Dragon_Desc,发射火球攻击目标，懂得飞行
@Monster.Golem_Desc,坚不可摧，力大无穷，举手投足就能引发地震
@Monster.ShadowGuard_Desc,暗影人军团的高级战士，防御力惊人，可以发出吼叫眩晕一大片敌人
@Monster.Scorpling_Desc,潜伏在地下，在靠近敌人后发动突袭
@Monster.Vampire_Desc,比小蝙蝠稍微强一些的敌人，攻击时可以吸取目标的生命
@Monster.Cactus_Desc,行动缓慢，一次发射多个尖刺攻击目标
@Monster.ScorpionKing_Desc,来自古老遗迹的魔物，懂得使用魔法召唤沙尘暴，并率领着擅长突袭的蝎子军团
@Monster.GiantDragon_Desc,传说中的生物，拥有强大的力量和烈焰
@Hero.Gunner,菲奥
@Hero.Gunner_Title,赏金猎人
@Hero.Gunner_Desc,菲奥是来自探险者世家的雇佣兵，活跃在世界各地神秘遗迹的探索行动中。
@Hero.Baserker,薇罗妮卡
@Hero.Baserker_Title,狂战士
@Hero.Baserker_Desc,战士薇罗妮卡永远在战场的第一线，挥舞巨大的武器，无情地碾碎任何敌人。
@Hero.Mage,库拉
@Hero.Mage_Title,魔法学徒
@Hero.Mage_Desc,库拉是来自魔法学院的年轻学徒，似乎本人还没察觉到她拥有着惊人的魔法天赋。
@Hero.Builder,黛尔
@Hero.Builder_Title,工程师
@Hero.Builder_Desc,黛尔是新生代中最优秀的工程师，精通机械和电脑，与菲奥是好友，于是也加入了队伍一起探险。
@UI.Alertode,晶石守护者
@UI.TapToPlay,点击开始游戏
@UI.Loading,载入中...
@UI.Start,开始战役
@UI.Survive,无尽模式
@UI.Setting,设置
@UI.Achievement,成就
@UI.QuickKey,快捷键
@UI.GiftCode,礼品码
@UI.EnterGiftCode,请输入礼品码……
@UI.GiftCodeUsed,此礼品码已经被使用过了
@UI.GiftCodeWrong,礼品码有误，请重新输入
@UI.GiftCodeNoMore,此礼品已经被领完了
@UI.GiftCodeError,异常错误：
@UI.Redeem,兑 换
@UI.DataExport,存档转移
@UI.CompleteGuideToUnlck,完成新手教程后解锁
@UI.Shop,商   店
@UI.Quit,退出
@UI.ConfirmQuit,再点一次确认退出
@UI.Music,音 乐
@UI.Sound,音 效
@UI.Language,语 言
@UI.EffectLevel,特效等级
@UI.Low,低
@UI.Medium,中
@UI.High,高
@UI.VeryHigh,超高
@UI.Done,完 成
@UI.SelectStage,选择关卡
@UI.TotalWave,{0} 波
@UI.Fog,迷雾
@UI.BOSS,首领
@UI.BuildPath,构建路径
@UI.ModeClassical,经典模式
@UI.ModeGacha,进化模式
@UI.ModeChaos,混乱模式
@UI.ClassicalDesc,常规的战斗，可以自由搭配阵容
@UI.GachaDesc,防御塔和升级路线将在战斗中随机解锁
@UI.ChaosDesc,防御塔、升级路线还有敌人都是随机的
@UI.Difficult,难度：{0}/{1}
@UI.DifficultDesc00,无特殊修改
@UI.DifficultDesc01,敌人血量和伤害增加30%
@UI.DifficultDesc02,建筑造价增加20%
@UI.DifficultDesc03,敌人数量增加40%
@UI.DifficultInGame,难度{0}
@UI.MyHero,切换英雄
@UI.UnlockInLv3,3级时解锁
@UI.UnlockInLv5,5级时解锁
@UI.MyTeam,我的队伍
@UI.BattleTeam,出战队伍
@UI.AllTeam,我的收藏
@UI.EnterBattle,出 战
@UI.RemoveBattle,移出队伍
@UI.SelectMode,模式选择
@UI.SurviveEvo,暗夜生存
@UI.SurviveEvo_Desc,·跟进化模式玩法类似，建筑和芯片会在游戏中随机解锁\n\n·每一局都会随机生成一张地图，并且随着游戏的进行地图区域会逐步扩大\n\n·敌人的数量和属性会随着波次不断变多和增强，每10波都会有BOSS登场
@UI.FieldRunner,坚守阵地
@UI.FieldRunner_Desc,·敌人只会攻击你的基地，用你的防御塔为敌人设计一条更长的路径\n\n·跟进化模式玩法类似，建筑和芯片会在游戏中随机解锁\n\n·初每一局都会随机生成一张地图，并且随着游戏的进行地图区域会逐步扩大\n\n·敌人的数量和属性会随着波次不断变多和增强，每10波都会有BOSS登场
@UI.ModeDesc,模式说明
@UI.HighScoreWave,最佳成绩：{0}波
@UI.Wave,第 {0}/{1} 波
@UI.Wave2,第 {0} 波
@UI.DefendSucceed,防御成功
@UI.UnlockChip,解锁芯片
@UI.Unlock,解锁
@UI.ChooseChip,选择芯片
@UI.Choose,选择
@UI.MyChips,芯片背包
@UI.Upgrade,升级
@UI.UpgradeAll,升级全部
@UI.UpgradeMax,已满级
@UI.RequireExp,下次升级所需经验
@UI.BattleWin,胜利
@UI.StageComplete,关卡 {0} 难度{1} 已完成！
@UI.BattleFail,失败
@UI.Next,继续
@UI.Restart,重来
@UI.Leave,离开
@UI.DoubleReward,双倍奖励
@UI.Revive,复活
@UI.Gem,钻石
@UI.Metal,钢铁
@UI.Chip,芯片组件
@UI.Buy,购买
@UI.ChooseHero,选择英雄
@UI.BasePara,基础属性
@UI.HeroTalent,英雄天赋
@UI.HeroSkill,英雄技能
@UI.InBattle,已出战
@UI.NotOwn,未解锁
@UI.LoadGame,读取存档
@UI.HasLoadGame,可读取上次游戏的记录，要继续游玩吗？
@UI.Load,读取
@UI.UnknowBuild,神秘 防御塔
@UI.UnknowHero,神秘 英雄
@UI.SomeDiamond,钻石×200
@UI.SomeMetal,钢铁×50
@UI.ShopBuyBuild,购买【神秘 防御塔】吗？
@UI.ShopBuyHero,购买【神秘 英雄】吗？
@UI.StageLose,我们失去了基地，当前波次{0}/{1}
@UI.StageLoseSurvive,挑战结束，已完成波次{0}
@UI.NewRecord,新纪录！
@UI.NoCoin,您的金币不够了
@UI.NoSilicon,芯片组件不足
@UI.NoMetal,钢铁不足
@UI.NoGem,钻石不足
@UI.TeamFull,队伍已满
@UI.AlreadyOccupied,这个位置已被占用
@UI.CanNotBuild,不能放置在这里
@UI.ShouldRemainRoad,至少需要留一条通路
@UI.TargetPreferClose,索敌：靠近
@UI.TargetPreferStrong,索敌：高血量
@UI.TargetPreferWeak,索敌：低血量
@UI.TargetPreferFar,索敌：最远
@UI.RotatePreferDL,朝向：左下
@UI.RotatePreferUL,朝向：左上
@UI.RotatePreferUR,朝向：右上
@UI.RotatePreferDR,朝向：右下
@UI.OccupyProgress,占领进度
@UI.ChipNotMatch,芯片不适用
@UI.Tech,科技进化
@UI.ChipUpgrade,（升级）
@UI.Reroll,重随
@UI.ShowPanel,展开
@UI.HidePanel,收起
@UI.ChooseTechBuild,获得建筑组合
@UI.ChooseTechChip,购买芯片升级
@UI.TechChipDesc,{0}获得：\n{1}
@UI.ChooseMovePos,点击要前往的目标点
@UI.HeroCantMove,不能移动到这里
@UI.MonsterDetail,敌人情报
@UI.SkillChooseAny,选择一处技能目标点
@UI.SkillChooseGround,选择一处空地作为技能目标点
@UI.SkillChooseAllies,选择一个友军作为技能目标
@UI.CantCastSkill,不能释放在这里
@UI.MoveHeroNearBy,英雄靠近以占领，占领后可解锁新能力
@UI.OK,确 定
@UI.Cancel,取消
@UI.Move,移动
@UI.IKnow,知道了
@UI.Tips,小提示
@UI.HP,生命值
@UI.AttackXFireSpeed,攻击力*攻速
@UI.Range,攻击范围
@UI.MoneyRate,生产速度
@UI.NewBuild,解锁防御塔
@UI.NewHero,解锁新英雄
@UI.VersionInfo,反馈QQ群：454783473\n当前版本：0.7.6
@UI.VersionDetail,【0.7.7版本更新内容】\n\n·平衡性调整，现在Boss受到的控制效果时长缩减至1/3;
@Achieve.FinishGuide,初出茅庐
@Achieve.FinishGuide_Desc,通关新手教程
@Achieve.WinHard5,崭露头角
@Achieve.WinHard5_Desc,通关难度3
@Achieve.WinGacha,随机应变
@Achieve.WinGacha_Desc,通关进化模式
@Achieve.Chip,高新科技
@Achieve.Chip_Desc,为防御塔安装一个芯片
@Achieve.KillMonster,战功显赫
@Achieve.KillMonster_Desc,消灭{0}个怪物
@Achieve.HeroKillMonster,英雄主义
@Achieve.HeroKillMonster_Desc,英雄消灭{0}个怪物
@Achieve.VeryRich,富甲一方
@Achieve.VeryRich_Desc,战斗中拥有{0}金钱
@Achieve.NoBuildLose,爱兵如子
@Achieve.NoBuildLose_Desc,不损失建筑的情况下通关难度3
@Achieve.WinAllStage,横扫千军
@Achieve.WinAllStage_Desc,通关所有战役地图
@Achieve.WinAllHard5,天下无敌
@Achieve.WinAllHard5_Desc,通关所有难度3的战役地图
@Achieve.GameFail,一波三折
@Achieve.GameFail_Desc,游戏失败{0}次
@Achieve.Revive,永不言弃
@Achieve.Revive_Desc,失败后复活{0}次
@Achieve.UnlockTower,大收藏家
@Achieve.UnlockTower_Desc,拥有{0}种防御塔
@Achieve.UnlockHero,人心所向
@Achieve.UnlockHero_Desc,拥有{0}个英雄
@Achieve.WinOnly1Build,精英部队
@Achieve.WinOnly1Build_Desc,只携带1种防御塔通关
@Achieve.AllAchievement,完美主义
@Achieve.AllAchievement_Desc,完成其他所有成就
@Achieve.Builder,建造大师
@Achieve.Builder_Desc,建造{0}个防御塔
@Achieve.UpgradeTower,固若金汤
@Achieve.UpgradeTower_Desc,同时拥有{0}座满级防御塔
@Guide.G0,在矿石上建造一个矿井，可以不断地产出金钱
@Guide.G1,怪物来进攻了，建造防御塔来抵御它们
@Guide.G2,选择一个建筑来升级，可以提升其各项属性
@Guide.G3,普通防御塔不能攻击飞行敌人，建造一个防空导弹来消灭它
@Guide.G4,召唤一名英雄来为你战斗，他可以通过消灭敌人来获取经验值升级
@Guide.G5,选择一名英雄，点击移动按钮，可以指派他前往战场的其他位置进行支援
@Guide.G6,选择一名英雄，点击技能按钮，向敌人们倾泻子弹
@ShortKey.OpenMenu,打开菜单
@ShortKey.Fast,加速
@ShortKey.Pause,暂停
@ShortKey.SelectBuild,选择建造
@ShortKey.UpgradeAll,全体升级/切换目标
@ShortKey.ChooseHero,选中英雄
@ShortKey.CastSkill,释放技能
@ShortKey.MoveHero,移动英雄
@ShortKey.SellBuild,变卖建筑
@Chapter.C01,新手教程
@Chapter.C02,简单战役
@Chapter.C03,中级战役
@Chapter.C04,困难战役
@Stage.S01,训练基地
@Stage.S02,作战前线
@Stage.S03,被围攻的岗哨
@Stage.S04,淤积河流
@Stage.S05,精英对决
@Stage.S06,湖心小岛
@Stage.S07,迷宫游戏
@Stage.S08,怪物花园
@Stage.S09,幽暗沼泽
@Stage.S10,一夫当关
@Stage.S11,绿洲
@Stage.S12,黄沙遗迹
@Stage.S13,风暴将至
@Stage.S14,迷雾重重
@Stage.S15,北方哨站
@Stage.S16,失落王座
@Stage.S17,冰冷峡谷
@Stage.S18,极夜
@Stage.S19,沙海孤舟
@Stage.S20,蓝星港
@Stage.S21,精英训练场
@Stage.S22,火山口
@Stage.S23,灰烬都市
@Stage.S24,幽暗密林
@Stage.S25,丛林神庙
@Stage.S26,仪式祭坛
